name,section,spanish,english,history,science
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
Jhon Smith,A,100.0,99.0,96.0,15.0
Pedro Tompson,B,60.0,55.0,90.0,73.0
